title,url,views,duration,likes,dislikes,channelName,subscribers,description,keywords,date_published,date_scraped,tags,comments,image_urls,path,checksum,status
diogo piçarra vitor kley nada é para sempre,https://www.youtube.com/watch?v=8o41__F252A,26111,195.0,18209,192,Diogo Piçarra,368000,diogo piçarra x vitor kley nada é para sempre stream or download nada é para sempre subscribe to diogo piçarra newsletter https forms umusic online , diogopicarra vitorkley nadaéparasempre diogopicarra diogo piçarra diogopiçarra piçarra picarra vitorkley victorkley vitorcley v ,2020-11-04,2020-07-11 15:35:22, diogopicarra vitorkley nadaéparasempre diogopicarra diogo piçarra diogopiçarra piçarra picarra vitorkley victorkley vitorcley vitorclei diogo piçarra vitor kley nada para sempre aprendi contigo que nada amor segredo anjos alto mar ainda bem chegou brasil música brasileira sucesso brasil the voice mentor the com ,['[]'],http://i4.ytimg.com/vi/8o41__F252A/hqdefault.jpg,full/7b6148dce441b5151f09e70c60498a39c1c9b4f5.jpg,24cd323fceefb78c4bde8eb7c63722fe,downloaded
relatório db outubro 2020,https://www.youtube.com/watch?v=RV__bcAYd5s,391183,2517.0,17892,183,Diogo Bataguas,180000,conteúdos exclusivos e loja https diogobataguas kilt pt seguir https www instagram com diogobataguas https twitter com diogobataguas produção https ,vídeo compartir teléfono con cámara teléfono con vídeo gratuito subida,2020-11-05,2020-07-11 15:35:29, ,['[]'],http://i4.ytimg.com/vi/RV__bcAYd5s/hqdefault.jpg,full/de1ab6cb65db18594b723b77a7672c081c5a7beb.jpg,da15e715dbda892dd3372636b8a18af3,downloaded
nga só se vive uma vez por nós x dino d santiago pra nós,https://www.youtube.com/watch?v=m367oL35lAQ,13270,540.0,17738,194,NGA,298000,music video by nga performing só se vive uma vez por nós pra nós c 2020 dopemuzik faixas completas disponíveis 14 11 20 participação especial de cl ,nga so se vive uma vez dopemuzik hiphop força suprema prodígio monsta don g sn gang angola portugal dino dsantiago gutto rhayra wilsoldiers cl ,2020-11-03,2020-07-11 15:35:54, nga so se vive uma vez dopemuzik hiphop força suprema prodígio monsta don g sn gang angola portugal dino dsantiago gutto rhayra wilsoldiers claudios vaz 2020 quarentenarija streetniggaz rap linha de sintra king ,['[]'],http://i4.ytimg.com/vi/m367oL35lAQ/hqdefault.jpg,full/1e9a6c20bb7dd694f321b942858b610fe266631e.jpg,06057ffe5857d5143364f6ea98110521,downloaded
mundo segundo sam the kid feat new max deixar de ser,https://www.youtube.com/watch?v=Ls8IitB6wd0,18,254.0,13003,86,MUNDO SEGUNDO E SAM THE KID,52700,escrito por mundo segundo sam the kid e new max produzido por mundo segundo sam the kid e new max cuts por dj guze e dj cruzfader gravado por here s jo ,vídeo compartir teléfono con cámara teléfono con vídeo gratuito subida,2020-11-01,2020-07-11 15:36:12, ,['[]'],http://i4.ytimg.com/vi/Ls8IitB6wd0/hqdefault.jpg,full/3820505dffdf917f038c6d1fbbaa532bf40e222a.jpg,56bf6a5e4bb94c4176cbd1e22da2b520,downloaded
spezia 1 4 juventus ronaldo scores brace as juventus hit 4 serie a tim,https://www.youtube.com/watch?v=hOVDNS0IvHc,97,253.0,159668,5708,Serie A,563,cr7 scores twice to rescue juventus from a third straight serie a stalemate spezia loses 4 1 serie a tim this is the official channel for the serie a pro ,ronaldo serie a dybala highlights juventus ac milan inter milan napoli roma cr7 cristiano ronaldo goals full highlights watch stream partita ,2020-11-01,2020-07-11 15:36:30, ronaldo serie a dybala highlights juventus ac milan inter milan napoli roma cr7 cristiano ronaldo goals full highlights watch stream partita migliori gol migliori in campo migliori al mondo gol del mese federcalcio calcio italia lukaku lazio zlatan ibrahimovic ribery ti home spe ti away juv spezia 1 4 juventus spezia juventus juventus highlights cr7 spezia juventus cristiano ronaldo juventus serie a andrea pirlo andrea pirlo juventus andrea pirlo coach ,['[]'],http://i4.ytimg.com/vi/hOVDNS0IvHc/hqdefault.jpg,full/81377ed287ce68b890c12e6313b74dcceba7894a.jpg,a3f49cd5894e93c26864bb4c50c8144c,downloaded
maluma the weeknd hawái remix official video ,https://www.youtube.com/watch?v=91vECNhvmMY,54,223.0,11,29236,Maluma,262,maluma the weeknd hawái remix official video top hits https smarturl it malumatophits music apple music https smarturl it hawairemix applemusic ,maluma the weeknd maluma hawai remix hawai remix hawai remix video hawai remix video oficial hawai remix official video hawai remix letra hawai remix ,2020-11-05,2020-07-11 15:36:47, maluma the weeknd maluma hawai remix hawai remix hawai remix video hawai remix video oficial hawai remix official video hawai remix letra hawai remix lyrics hawai remix maluma letra maluma hawai remix letra maluma hawai remix lyrics maluma 2020 hawai de vacaciones muy lindo en instagram maluma the weekend maluma maluma weekend weeknd hawaii the weeknd blinding lights the weeknd too late the weeknd hawaii the weekend blinding lights the weekend hawaii ,['[]'],http://i4.ytimg.com/vi/91vECNhvmMY/hqdefault.jpg,full/fff6b79b642ef59dc153fff591e61e5aad77cc96.jpg,22ce98e5eb0e6e3a491e923dd2c81be9,downloaded
mr carly ft irina barros se eu pudesse vídeo official ,https://www.youtube.com/watch?v=1SLhz4vCb58,48,203.0,8069,55,My Vibe Music,91100,mr carly ft irina barros performing se eu pudesse my vibe music c 2020 goste comente partilhe subscreva por vezes conhecemos a pessoa certa na ,vídeo compartir teléfono con cámara teléfono con vídeo gratuito subida,2020-11-04,2020-07-11 15:37:05, ,['[]'],http://i4.ytimg.com/vi/1SLhz4vCb58/hqdefault.jpg,full/462a9c2fe228026ec52ba09ab8d122f46c341ade.jpg,06fdcd3b8fee2b9e41cfeb585777a587,downloaded
ariana grande positions official video ,https://www.youtube.com/watch?v=tcYodQoapMg,529278,177.0,35,71812,Ariana Grande,443,the official positions music video by ariana grande listen download the song here http arianagrande lnk to positions subscribe to ariana grande htt ,ariana grande positions positions ariana grande ariana grande grande ariana ariana grande positions album positions album ariana grande ariana positio ,2020-10-22,2020-07-11 15:37:49, ariana grande positions positions ariana grande ariana grande grande ariana ariana grande positions album positions album ariana grande ariana positions ariana positions positions ariana ariana grande ag6 ag6 ariana grande positions leak ariana grande album positions album grande positions new ariana grande ariana grande lyrics lyrics ariana grande lyrics ariana positions ariana grande music video ariana grande positions song positions ariana grande lyrics ,['[]'],http://i4.ytimg.com/vi/tcYodQoapMg/hqdefault.jpg,full/5e09a3f780a6a12870595813b585c6225c7cdb95.jpg,8c3538ee873251ecfa17d1e397b6104e,downloaded
harry styles golden official video ,https://www.youtube.com/watch?v=P3cffdsEXXw,147,209.0,31,30987,Harry Styles,884,listen to harry styles new album fine line now https hstyles lnk to finelineay follow harry styles facebook https harrystyles lnk to followfi insta ,you are so golden youre so golden ur so golden watermelon sugar adore you lights up cherry falling to be so lonely she sunflower vol 6 canyon mo ,2020-10-26,2020-07-11 15:38:07, you are so golden youre so golden ur so golden watermelon sugar adore you lights up cherry falling to be so lonely she sunflower vol 6 canyon moon treat people with kindness fine line hstyles harry tpwk kindess hs2 hs1 take me back to the light i know you were way too bright for me i m hopeless broken don t wanna alone when ends don t let you know i alone who and ,['[]'],http://i4.ytimg.com/vi/P3cffdsEXXw/hqdefault.jpg,full/155c6eb49d982bf8e16d79a1d03c7e2eb459327a.jpg,20f7963dfa6f3a55f11871e41a7d743c,downloaded
comida xxl cachorro especial 5kg ,https://www.youtube.com/watch?v=A7-S3uqduLM,66,600.0,20759,196,Nuno Moura,508000,agradecimentos lisbon cooking academy https lisboncookingacademy com pão da vila https paodavila pt segundo canal https www youtube com user 465u ,vídeo compartir teléfono con cámara teléfono con vídeo gratuito subida,2020-11-01,2020-07-11 15:38:24, ,['[]'],http://i4.ytimg.com/vi/A7-S3uqduLM/hqdefault.jpg,full/71ac9f345fa302b1757e6d901e1e537b6e49dc02.jpg,6dda13bdd3b460e5865f2f78fda1f927,downloaded
